Section,Question ID,Question Title,Applies To,Legal Reference,Guideline
A,A-1,What are the responsibilities of an SEA and an LEA for preparing a report card?,SEA and LEA,ESEA section 1111(h)(1) and (h)(2),"The ESEA requires that each SEA and LEA that receives Title I funds prepare and disseminate an annual report card. Generally, an SEA and LEA is required by the ESEA to include on its report card information about public schools related to a wide variety of student and school performance metrics, accountability, per-pupil expenditures, and educator qualifications, as well as any other information that the SEA or LEA deems relevant. The ESEA requires that State and local report cards be concise and presented in an understandable and uniform format accessible to the public, including persons with disabilities, and, to the extent practicable, provided in a language that parents and other stakeholders can understand."
A,A-2,When should an SEA or LEA post annual report cards on its website?,SEA and LEA,"ESEA section 1111(h)(1)(A), (B)(iii) and (h)(2)(A), (B)(iii)","Under the ESEA, report cards must be posted annually on SEA and LEA websites. Although an SEA and LEA has discretion regarding when to issue its report card, parents and other stakeholders will likely find it most useful if the report cards are issued before the start of the succeeding school year or as early in the succeeding school year as possible (e.g., back-to-school time). Timely publication of report cards will encourage and foster open and transparent discussion between parents and other stakeholders and school officials about school performance."
A,A-3,Is there a particular report card style or format that an SEA or an LEA must use?,SEA and LEA,ESEA section 1111(h)(1)(B) and (h)(2)(B),"No. The ESEA requires that State and local report cards be concise, presented in an understandable and uniform format, and accessible to the public. Beyond these requirements, SEAs and LEAs have flexibility to use the report card style or format they determine to be most effective in presenting information to stakeholders, including parents. To help ensure that parents contribute to decisions related to report cards, the ESEA requires that SEAs consult with parents in developing the State report card. In addition, LEAs may want to consider consulting with parents in developing the local report card."
A,A-4,Are there considerations or principles for displaying student and school performance data that may be helpful to SEAs and LEAs as they develop prepare and disseminate State and local report cards?,SEA and LEA,N/A,"As noted above, within certain parameters described in the ESEA, SEAs and LEAs have flexibility to design State and local report cards that best suit their particular contexts. In determining the design of report cards, SEAs and LEAs may want to consider various questions such as: Does the report card reflect feedback based on different presentation formats? Are the data available in both chart/graph and table format? Does the report card include narrative summaries in plain language? Is social media embedded? Does the report card link to historical information? Is the information provided in a mobile-ready format? Are the State and local report cards disseminated in formats accessible to individuals with disabilities and those with limited English proficiency?"
A,A-5,How can an SEA and LEA meet the requirement for report cards to be concise?,SEA and LEA,ESEA sections 1111(h)(1)(B)(i) and (h)(2)(B)(i),"ESEA sections 1111(h)(1)(B)(i) and (h)(2)(B)(i) require that State and local report cards be concise. An SEA and LEA has flexibility in determining how to ensure its report card is presented in a concise manner. For example, an SEA and LEA could: Provide an introductory section that includes information on key metrics and/or student groups that can help parents and other stakeholders quickly access and understand such information; Provide the report card on an interactive platform that allows users to see high-level data and access additional information through drop-down menus or other interactive tools."
A,A-6,What does the ESEA require regarding how an SEA and LEA can ensure the accessibility of report cards?,SEA and LEA,ESEA section 1111(h)(1)(B) and (h)(2)(B),"The ESEA requires that State and local report cards be widely accessible to the public. Specifically, report cards must be in an understandable and uniform format and, to the extent practicable, written in a language that parents can understand."
A,A-7,How might an SEA and LEA ensure that its report card is accessible to parents who are limited English proficient?,SEA and LEA,ESEA section 1111(h)(1)(B) and (h)(2)(B),"Report cards must be, to the extent practicable, provided in a language that parents can understand. Depending on local needs, it may be necessary for the SEA and LEA to produce versions of its report card in other languages or support local translations of report card information. For example, an SEA and LEA might translate the report card into the languages spoken by the major language groups served by the SEA and LEA and distribute the translated copies to parents who are limited English proficient. Parents and other stakeholders who are not from the major language groups must also have meaningful access through translation upon request, effective summaries, or oral interpretations."
A,A-8,How might an SEA or an LEA ensure that its report card is accessible to parents with disabilities?,SEA and LEA,28 CFR § 35.160 and 34 CFR § 104.4(b)(1)(iii),"An SEA and LEA have an obligation under Section 504 and Title II of the Americans with Disabilities Act (ADA) to ensure that communications with individuals with disabilities are as effective as communications with non-disabled individuals. Thus, each SEA and LEA must disseminate its annual report cards in a manner that provides parents with disabilities and individuals with disabilities who are members of the public with an equal opportunity to access the report cards. To do so, the SEA and LEA may need to take appropriate steps, including providing accommodations or modifications when necessary."
A,A-9,How can an SEA or LEA ensure the online accessibility of its report cards?,SEA and LEA,ESEA section 1111(h)(1)(B)(iii) and (h)(2)(B)(iii)(I),"The ESEA requires that an SEA make its report card available on a single webpage of the SEA's website. Similarly, if an LEA has a website, the ESEA requires that the LEA post the local report card on such website. To ensure accessibility of State and local report cards on websites, SEAs and LEAs may consider meeting modern standards such as the World Wide Web Consortium's Web Content Accessibility Guidelines (WCAG), and the Web Accessibility Initiative Accessible Rich Internet Applications Suite 1.2 for web content."
A,A-10,How can an SEA and an LEA ensure that the information on its report card does not reveal personally identifiable information about individual students?,SEA and LEA,ESEA section 1111(i); 20 U.S.C. 1232g; 34 CFR Part 99,"The ESEA requires that when presenting data on a report card, an SEA and LEA ensure that it protects the privacy of individuals and the privacy of personally identifiable information (PII) contained in students' education records consistent with the Family Educational Rights and Privacy Act (FERPA). Likewise, personally identifiable data on students who are children with disabilities are subject to the confidentiality provisions in the IDEA, which are generally consistent with FERPA. Accordingly, the ESEA requires that the number of students, teachers, or principals or other school leaders in a category of reported data generally be sufficient so that it does not reveal personally identifiable information."
A,A-11,May an SEA and LEA use Title I funds to prepare and disseminate its report card?,SEA and LEA,N/A,Yes. An SEA and LEA may use its administrative funds under Title I to prepare and disseminate the report cards required by ESEA section 1111(h).
A,A-12,How can an SEA or an LEA ensure the accuracy of its report card data?,SEA and LEA,N/A,"It is extremely important that an SEA and LEA have systematic and uniform data collection guidelines, a system of internal controls, and an infrastructure to collect, produce, and report data that are accurate, reliable, and high quality. Please be aware that individuals and entities responsible for reporting inaccurate data could be subject to civil fines and penalties. The intentional reporting of inaccurate data could lead to criminal prosecution and penalties in addition to any civil consequences. An SEA and LEA, and all its employees, contractors, and other agents, must promptly refer to the Office of Inspector General (OIG) any credible evidence of suspected fraud or the intentional manipulation or reporting of incorrect data."
A,A-13,Must an SEA and LEA include information for private school students and teachers on its report card?,SEA and LEA,ESEA section 1111(h)(1) and (h)(2),No. The report card requirements in ESEA section 1111(h)(1) and (h)(2) apply only to public schools and LEAs.
